comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000394;NA;.000118;.000154;.000262;.000833;8;868
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000366;NA;.000105;.000199;.000238;.000833;8;786
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000575;NA;.000100;.000209;.000284;.000833;6;553
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000372;NA;.000100;.000152;.000190;.000833;8;838
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000390;NA;.000100;.000105;.000143;.000833;8;885
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000310;NA;.000103;.000156;.000216;.000833;8;825
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000359;NA;.000136;.000159;.000205;.000833;8;945
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000584;NA;.000139;.000213;.000378;.000833;8;700
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000373;NA;.000148;.000172;.000221;.000833;8;1080
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000525;NA;.000127;.000186;.000287;.000833;8;886
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003400;NA;.000160;.001941;.002371;.005833;8;155
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003447;NA;.000191;.001954;.002363;.005833;8;156
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003443;NA;.000141;.001956;.002376;.005833;8;139
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003880;NA;.000177;.001921;.002376;.006250;8;145
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003404;NA;.000203;.001976;.002430;.005833;8;170
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003260;NA;.000189;.002008;.002445;.005833;8;173
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003534;NA;.000198;.001981;.002366;.005833;8;169
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003564;NA;.000183;.001903;.002372;.005833;8;153
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003435;NA;.000175;.001918;.002374;.005833;8;152
0.02;3;1;0;4;512;524;1;0;5;10000;10000;25;0;1;0;1;0;1;.003417;NA;.000189;.001934;.002329;.005833;8;154
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006625;NA;.000219;.003717;.004469;.011250;8;97
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006599;NA;.000179;.003738;.004489;.011250;8;81
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006454;NA;.000148;.003714;.004470;.011250;8;77
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006521;NA;.000200;.003716;.004497;.011250;8;90
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006432;NA;.000207;.003780;.004580;.011250;8;100
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006685;NA;.000176;.003720;.004491;.011250;8;81
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006611;NA;.000183;.003730;.004466;.011250;8;85
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006445;NA;.000208;.003749;.004508;.011250;8;92
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006728;NA;.000197;.003680;.004516;.011250;8;87
0.02;3;1;0;4;512;524;1;0;5;10000;10000;50;0;1;0;1;0;1;.006514;NA;.000196;.003729;.004482;.011250;8;90
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009760;NA;.000162;.005439;.006531;.016250;8;57
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009544;NA;.000211;.005521;.006622;.016250;8;68
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009806;NA;.000214;.005464;.006569;.016666;8;64
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009644;NA;.000194;.005468;.006557;.016250;8;61
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009646;NA;.000203;.005423;.006540;.016250;8;67
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009516;NA;.000218;.005541;.006620;.016250;8;65
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.010289;NA;.000214;.005478;.006595;.017083;8;63
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009581;NA;.000186;.005455;.006583;.016250;8;58
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009800;NA;.000211;.005437;.006544;.016250;8;59
0.02;3;1;0;4;512;524;1;0;5;10000;10000;75;0;1;0;1;0;1;.009589;NA;.000209;.005472;.006573;.016250;8;64

0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000406;NA;.000111;.000146;.000212;.000833;8;877
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000390;NA;.000103;.000163;.000275;.000833;8;809
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000781;NA;.000081;.000190;.000278;.001250;8;480
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000422;NA;.000106;.000169;.000242;.000833;8;845
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000375;NA;.000106;.000158;.000224;.000833;8;861
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000614;NA;.000108;.000147;.000326;.000833;8;720
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000567;NA;.000100;.000219;.000339;.000833;8;773
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000344;NA;.000121;.000139;.000182;.000833;8;975
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000343;NA;.000106;.000137;.000176;.000833;8;885
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000551;NA;.000136;.000279;.000422;.000833;8;850
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000416;NA;.000116;.000145;.000199;.000833;8;1025
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000375;NA;.000135;.000203;.000362;.000833;8;746
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000574;NA;.000139;.000234;.000357;.000833;8;792
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000359;NA;.000118;.000138;.000176;.000833;8;928
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000787;NA;.000070;.000177;.000319;.000833;6;489
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000583;NA;.000078;.000162;.000301;.000833;8;572
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000581;NA;.000116;.000182;.000290;.000833;8;768
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000397;NA;.000116;.000156;.000195;.000833;8;923
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000390;NA;.000136;.000168;.000264;.000833;8;968
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000575;NA;.000141;.000249;.000359;.000833;8;868
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000374;NA;.000103;.000140;.000190;.000833;8;842
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000804;NA;.000111;.000177;.000385;.001250;8;540
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000395;NA;.000106;.000161;.000217;.000833;8;914
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000597;NA;.000104;.000178;.000266;.000833;8;746
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000408;NA;.000103;.000163;.000324;.000833;8;765
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000532;NA;.000115;.000175;.000258;.000833;8;813
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000393;NA;.000111;.000158;.000240;.000833;8;922
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000575;NA;.000142;.000205;.000322;.000833;8;762
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000357;NA;.000104;.000158;.000242;.000833;8;813
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000371;NA;.000129;.000206;.000294;.000833;8;783
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.001031;NA;.000072;.000222;.000370;.001250;8;402
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000379;NA;.000109;.000153;.000189;.000833;8;866
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000837;NA;.000081;.000212;.000285;.001250;8;500
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000405;NA;.000123;.000161;.000221;.000833;8;909
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000443;NA;.000134;.000181;.000279;.000833;8;895
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000403;NA;.000104;.000167;.000219;.000833;8;876
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000444;NA;.000147;.000182;.000237;.000833;8;970
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000370;NA;.000105;.000134;.000182;.000833;8;795
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000566;NA;.000096;.000224;.000326;.000833;10;700
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;100;1;0;1;0;1;.000426;NA;.000104;.000197;.000270;.000833;6;834

0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000369;NA;.000115;.000124;.000188;.000833;6;870
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000577;NA;.000099;.000178;.000346;.000833;6;603
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000536;NA;.000106;.000243;.000344;.000833;6;684
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000505;NA;.000092;.000184;.000376;.000833;6;680
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000377;NA;.000108;.000122;.000176;.000416;7;1005
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000378;NA;.000103;.000162;.000184;.000833;6;834
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000335;NA;.000136;.000150;.000213;.000833;6;977
0.01;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000348;NA;.000138;.000156;.000220;.000833;6;890
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000343;NA;.000103;.000129;.000195;.000833;6;835
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;0;1;.000371;NA;.000133;.000160;.000219;.000833;7;909
0.03;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.043325;NA;.000105;.002020;.042902;.043750;7;18
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.000372;NA;.000107;.003694;.042744;.043333;6;17
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.042302;NA;.000131;.003716;.043051;.043750;6;18
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.043058;NA;.000118;.008931;.042485;.043333;6;17
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.125937;NA;.000134;.001915;.041591;.126250;6;6
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.042991;NA;.000114;.001969;.042292;.043333;6;16
0.03;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.042963;NA;.000128;.003718;.043028;.043750;6;19
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.084351;NA;.000112;.005747;.043019;.085000;6;8
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.043084;NA;.000120;.000208;.000296;.043333;8;17
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;1;1;.043148;NA;.000134;.000224;.000601;.043333;7;17
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.126892;NA;.000127;.001943;.042842;.127500;6;6
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.042482;NA;.000144;.008900;.042221;.042916;6;19
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.042199;NA;.000130;.005772;.043125;.043333;6;16
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.042314;NA;.000123;.012375;.084574;.085000;6;9
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.084997;NA;.000132;.010970;.042231;.085416;6;9
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.043331;NA;.000106;.009036;.085234;.086250;8;8
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.042803;NA;.000126;.007551;.050941;.051250;6;15
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.084818;NA;.000147;.003645;.041913;.085416;6;9
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.042796;NA;.000157;.012507;.042505;.043333;6;20
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;2;1;.042504;NA;.000140;.001914;.041990;.042916;7;19
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.169152;NA;.000171;.003686;.042151;.169583;7;5
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.085547;NA;.000133;.013033;.127079;.127500;6;5
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.125993;NA;.000181;.009078;.043005;.168750;6;5
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.127007;NA;.000142;.012467;.084174;.127500;6;6
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.126490;NA;.000173;.016003;.084660;.127083;6;7
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.126027;NA;.000172;.020192;.084878;.126666;6;7
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.042412;NA;.000153;.019815;.125828;.126250;6;6
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.126824;NA;.000167;.016769;.126728;.127500;6;6
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.042818;NA;.000164;.020131;.295396;.295833;7;3
0.02;3;1;0;4;512;524;1;0;5;10000;10000;0;0;1;0;1;5;1;.127655;NA;.000150;.014561;.043090;.127916;7;6
